year,actor,movie,winner,ethnicity
1974,Art Carney,Harry and Tonto,True,['Irish']
1974,James Earl Jones,Claudine,False,['AfricanAmerican']
1974,Jack Lemmon,The Front Page,False,"['English', 'Irish', 'Scottish', 'French', 'Dutch', 'Welsh']"
1974,Jack Lemmon,The Front Page,False,"['English', 'Irish', 'Scottish', 'French', 'Dutch', 'Welsh']"
1974,Burt Reynolds,The Longest Yard,False,"['English', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'German', 'Dutch']"
1975,George Burns,The Sunshine Boys,True,"['Ashkenazi', 'Jewish']"
1975,George Burns,The Sunshine Boys,True,"['Ashkenazi', 'Jewish']"
1975,Warren Beatty,Shampoo,False,"['English', 'Scottish', 'Irish', 'French', 'Danish', 'Dutch']"
1975,James Caan,Funny Lady,False,"['Ashkenazi', 'Jewish']"
1975,Peter Sellers,The Return of the Pink Panther,False,"['Sephardi', 'Jewish', 'Ashkenazi', 'Jewish']"
1976,Kris Kristofferson,A Star Is Born,True,"['Swedish', 'English', 'ScotsIrishNorthern', 'Irish', 'German', 'SwissGerman', 'Dutch']"
1976,Mel Brooks,Silent Movie,False,"['Ashkenazi', 'Jewish']"
1976,Peter Sellers,The Pink Panther Strikes Again,False,"['Sephardi', 'Jewish', 'Ashkenazi', 'Jewish']"
1976,Jack Weston,The Ritz,False,[]
1976,Gene Wilder,Silver Streak,False,"['Ashkenazi', 'Jewish']"
1977,Richard Dreyfuss,The Goodbye Girl,True,"['Ashkenazi', 'Jewish']"
1977,Woody Allen,Annie Hall,False,"['Ashkenazi', 'Jewish']"
1977,Mel Brooks,High Anxiety,False,"['Ashkenazi', 'Jewish']"
1977,Robert De Niro,"New York, New York",False,"['Italian', 'Irish', 'German', 'Dutch', 'English', 'French', 'Huguenot', 'Scottish', 'ScotsIrishNorthern', 'Irish']"
1977,John Travolta,Saturday Night Fever,False,"['ItalianSicilian50', 'Irish']"
1978,Warren Beatty,Heaven Can Wait,True,"['English', 'Scottish', 'Irish', 'French', 'Danish', 'Dutch']"
1978,Alan Alda,"Same Time, Next Year",False,['Irish']
1978,Gary Busey,The Buddy Holly Story,False,[]
1978,Chevy Chase,Foul Play,False,"['English', 'Scottish', 'Irish', 'Danish', 'Dutch', 'German']"
1978,George C. Scott,Movie Movie,False,"['English', 'German', 'Irish', 'Scottish']"
1978,John Travolta,Grease,False,"['ItalianSicilian50', 'Irish']"
