Music Is Magic,"['Alice Faye', ' Bebe Daniels']"
Mutiny Ahead,"['Neil Hamilton', ' Kathleen Burke', ' Leon Ames']"
Mutiny on the Bounty,"['Charles Laughton', ' Clark Gable', ' Franchot Tone']"
The Mystery of Edwin Drood,"['Claude Rains', ' Douglass Montgomery', ' E. E. Clive']"
The Mystery Man,"['Robert Armstrong', ' Maxine Doyle']"
Mystery Woman,"['Mona Barrie', ' Gilbert Roland']"
Naughty Marietta,"['Jeanette MacDonald', ' Nelson Eddy', ' Elsa Lanchester']"
Navy Wife,"['Claire Trevor', ' Ralph Bellamy', ' Jane Darwell']"
Nevada,"['Buster Crabbe', ' Kathleen Burke']"
Never Too Late,"['Richard Talmadge', ' Thelma White']"
The New Frontier,"['John Wayne', ' Muriel Evans']"
A Night at the Opera,"['Marx Brothers', ' Kitty Carlisle']"
A Night at the Ritz,"['William Gargan', ' Patricia Ellis']"
The Night Is Young,"['Ramon Novarro', ' Evelyn Laye']"
Night Life of the Gods,"['Alan Mowbray', ' Gilbert Emery', ' Henry Armetta']"
The Nitwits,"['Bert Wheeler', ' Robert Woolsey']"
No More Ladies,"['Joan Crawford', ' Robert Montgomery', ' Joan Fontaine']"
North of Arizona,"['Jack Perrin', ' Blanche Mehaffey']"
A Notorious Gentleman,"['Charles Bickford', ' Helen Vinson']"
The Nut Farm,"['Betty Alden', ' Oscar Apfel', ' Wallace Ford']"
O'Shaughnessy's Boy,"['Wallace Beery', ' Leona Maricle', ' Jackie Cooper']"
Oil for the Lamps of China,"[""Pat O'Brien"", ' Josephine Hutchinson', ' Jean Muir']"
The Old Homestead,"['Mary Carlisle', ' Lawrence Gray']"
Old Man Rhythm,"['Charles ""Buddy"" Rogers', ' George Barbier', ' Barbara Kent', ' Grace Bradley']"
On Probation,"['Monte Blue', ' Lucile Browne']"
Once in a Blue Moon,"['Jimmy Savo', ' Cecilia Loftus', ' George Mitchell']"
One Frightened Night,"['Lucien Littlefield', ' Mary Carlisle', ' Regis Toomey']"
One More Spring,"['Janet Gaynor', ' Warner Baxter']"
One New York Night,"['Franchot Tone', ' Una Merkel', ' Conrad Nagel']"
One Way Ticket,"['Lloyd Nolan', ' Walter Connolly']"
Orchids to You,"['John Boles', ' Jean Muir', ' Charles Butterworth']"
Our Little Girl,"['Shirley Temple', ' Rosemary Ames', ' Joel McCrea']"
Outlawed Guns,"['Buck Jones', "" Roy D'Arcy""]"
The Pace That Kills,"['Sheila Bromley', ' Lois January', ' Charles Delaney']"
Page Miss Glory,"['Marion Davies', "" Pat O'Brien"", ' Dick Powell']"
Paradise Canyon,"['John Wayne', ' Marion Burns']"
Paris in Spring,"['Mary Ellis', ' Tullio Carminati', ' Ida Lupino']"
Party Wire,"['Jean Arthur', ' Victor Jory', ' Charley Grapewin']"
The Payoff,"['James Dunn', ' Claire Dodd', ' Patricia Ellis']"
People Will Talk,"['Charles Ruggles', ' Mary Boland', ' Leila Hyams']"
The People's Enemy,"['Melvyn Douglas', ' Preston Foster', ' Lila Lee']"
The Perfect Clue,"['David Manners', ' Betty Blythe']"
The Perfect Gentleman,"['Frank Morgan', ' Cicely Courtneidge', ' Heather Angel']"
Personal Maid's Secret,"['Margaret Lindsay', ' Warren Hull', ' Anita Louise']"
