The Girl Who Came Back,"['Shirley Grey', ' Noel Madison']",['Crime']
The Glass Key,"['George Raft', ' Edward Arnold', ' Claire Dodd']","['Drama', ' Crime']"
Go Into Your Dance,"['Al Jolson', ' Ruby Keeler', ' Glenda Farrell']",['Musical']
Goin' to Town,"['Mae West', ' Paul Cavanagh', ' Gilbert Emery']","['Comedy', ' Musical']"
Going Highbrow,"['Edward Everett Horton', ' ZaSu Pitts', ' Guy Kibbee']","['Comedy', ' Romance']"
Gold Diggers of 1935,"['Dick Powell', ' Alice Brady', ' Hugh Herbert']","['Comedy', ' Musical']"
The Good Fairy,"['Margaret Sullavan', ' Herbert Marshall', ' Frank Morgan']",['Romantic comedy']
The Goose and the Gander,"['Kay Francis', ' George Brent']",['Romantic comedy']
Grand Exit,"['Edmund Lowe', ' Ann Sothern']",['Mystery']
Grand Old Girl,"['May Robson', ' Fred MacMurray', ' Edward Van Sloan']","['Drama', ' Romance']"
Great God Gold,"['Sidney Blackmer', ' Martha Sleeper']",['Drama']
The Great Hotel Murder,"['Edmund Lowe', ' Victor McLaglen', ' Rosemary Ames']",['Mystery']
The Great Impersonation,"['Edmund Lowe', ' Valerie Hobson']",['Drama']
Guard That Girl,"['Florence Rice', ' Ward Bond']",['Mystery']
Hands Across the Table,"['Carole Lombard', ' Fred MacMurray', ' Ralph Bellamy']","['Comedy', ' Romance']"
Happiness C.O.D.,"['Donald Meek', ' Irene Ware']",['Comedy']
Hard Rock Harrigan,"[""George O'Brien"", ' Irene Hervey']",['Drama']
Harmony Lane,"['Douglass Montgomery', ' Evelyn Venable', ' Adrienne Ames']",['Biopic']
The Headline Woman,"['Roger Pryor', ' Heather Angel', ' Franklin Pangborn']","['Drama', ' Crime']"
The Healer,"['Ralph Bellamy', ' Judith Allen', ' Mickey Rooney']",['Drama']
Heir to Trouble,"['Ken Maynard', ' Joan Perry']",['Western']
Here Comes Cookie,"['George Burns', ' Gracie Allen']",['Comedy']
Here Comes the Band,"['Ted Lewis', ' Virginia Bruce', ' Nat Pendleton']","['Comedy', ' Musical']"
Here's to Romance,"['Nino Martini', ' Genevieve Tobin', ' Anita Louise']",['Musical']
"Hi, Gaucho!","['John Carroll', ' Steffi Duna', ' Rod La Rocque', ' Montagu Love']",['Comedy']
His Family Tree,"['James Barton', ' Margaret Callahan']",['Comedy']
His Fighting Blood,"['Kermit Maynard', ' Polly Ann Young', ' Paul Fix']",['Western']
His Night Out,"['Edward Everett Horton', ' Irene Hervey']",['Comedy']
Hitch Hike Lady,"['Alison Skipworth', ' Mae Clarke']",['Comedy']
Hold 'Em Yale,"['Patricia Ellis', ' Cesar Romero']",['Comedy']
Home on the Range,"['Randolph Scott', ' Jackie Coogan', ' Evelyn Brent']",['Western']
Honeymoon Limited,"['Neil Hamilton', ' Irene Hervey']",['Comedy']
Hong Kong Nights,"['Tom Keene', ' Wera Engels']",['Thriller']
Hooray for Love,"['Ann Sothern', ' Gene Raymond']",['Musical comedy']
The Hoosier Schoolmaster,"['Norman Foster', ' Charlotte Henry']",['Drama']
Hop-Along Cassidy,"['William Boyd', ' James Ellison', ' Paula Stone']",['Western']
Hot Off the Press,"['Jack La Rue', ' Monte Blue']",['Drama']
Hot Tip,"['ZaSu Pitts', ' James Gleason', ' Margaret Callahan', ' Russell Gleason']",['Comedy']
Mad Love,"['Peter Lorre', ' Frances Drake', ' Colin Clive']","['Drama', ' Horror']"
Magnificent Obsession,"['Robert Taylor', ' Irene Dunne', ' Ralph Morgan']","['Drama', ' Romance']"
Make a Million,"['Charles Starrett', ' Pauline Brooks', ' James Burke']",['Comedy']
Man of Iron,"['Barton MacLane', ' Mary Astor']",['Drama']
Man on the Flying Trapeze,"['W. C. Fields', ' Kathleen Howard', ' Mary Brian']",['Comedy']
The Man Who Broke the Bank at Monte Carlo,"['Ronald Colman', ' Joan Bennett', ' Colin Clive']",['Comedy']
Manhattan Moon,"['Ricardo Cortez', ' Dorothy Page', "" Hugh O'Connell""]","['Comedy', ' Musical']"
Mark of the Vampire,"['Bela Lugosi', ' Lionel Barrymore', ' Elizabeth Allan']","['Mystery', ' Horror']"
"Mary Burns, Fugitive","['Sylvia Sidney', ' Melvyn Douglas']",['Drama']
Mary Jane's Pa,"['Aline MacMahon', ' Guy Kibbee']",['Drama']
Maybe It's Love,"['Gloria Stuart', ' Ross Alexander', ' Ruth Donnelly']","['Comedy', ' Romance']"
McFadden's Flats,"['Walter C. Kelly', ' Andy Clyde']",['Comedy']
The Melody Lingers On,"['Josephine Hutchinson', ' Mona Barrie']",['Musical']
Melody Trail,"['Gene Autry', ' Ann Rutherford']",['Western']
Men of Action,"['Frankie Darro', ' Edwin Maxwell', ' Fred Kohler']","['Drama', ' Action']"
Men of the Hour,"['Richard Cromwell', ' Billie Seward', ' Wallace Ford']",['Mystery']
Men Without Names,"['Fred MacMurray', ' Madge Evans', ' J. C. Nugent']","['Drama', ' Crime']"
Metropolitan,"['Lawrence Tibbett', ' Alice Brady', ' Virginia Bruce']","['Drama', ' Musical']"
Midnight Phantom,"['Reginald Denny', ' Claudia Dell', ' Lloyd Hughes']","['Drama', ' Crime']"
A Midsummer Night's Dream,"['Olivia de Havilland', ' James Cagney', ' Mickey Rooney']","['Comedy', ' Fantasy']"
Millions in the Air,"['John Howard', ' Wendy Barrie']",['Comedy']
Les Misérables,"['Charles Laughton', ' Fredric March', ' Rochelle Hudson']","['Drama', ' Romance']"
Miss Pacific Fleet,"['Joan Blondell', ' Glenda Farrell', ' Hugh Herbert']",['Comedy']
Mississippi,"['Bing Crosby', ' Joan Bennett', ' W. C. Fields']","['Comedy', ' Musical']"
Mister Dynamite,"['Edmund Lowe', ' Matt McHugh', ' Esther Ralston']","['Drama', ' Crime']"
Moonlight on the Prairie,"['Dick Foran', ' Sheila Bromley', ' George E. Stone']",['Western musical']
Motive for Revenge,"['Donald Cook', ' Irene Hervey', ' Doris Lloyd']",['Mystery']
Murder by Television,"['Bela Lugosi', ' June Collyer']",['Mystery']
Murder in Harlem,"['Clarence Brooks', ' Dorothy Van Engle', ' Alice B. Russell']","['Drama', ' Mystery']"
Murder in the Fleet,"['Robert Taylor', ' Arthur Byron', ' Una Merkel']","['Comedy', ' Drama']"
The Murder Man,"['Spencer Tracy', ' Virginia Bruce', ' William Demarest']","['Drama', ' Crime']"
Murder on a Honeymoon,"['Edna May Oliver', ' Leo G. Carroll', ' Lola Lane']","['Comedy', ' Mystery']"
Music Is Magic,"['Alice Faye', ' Bebe Daniels']",['Musical']
Mutiny Ahead,"['Neil Hamilton', ' Kathleen Burke', ' Leon Ames']",['Adventure']
Mutiny on the Bounty,"['Charles Laughton', ' Clark Gable', ' Franchot Tone']","['Drama', ' Adventure']"
The Mystery of Edwin Drood,"['Claude Rains', ' Douglass Montgomery', ' E. E. Clive']","['Drama', ' Mystery']"
The Mystery Man,"['Robert Armstrong', ' Maxine Doyle']",['Crime']
Mystery Woman,"['Mona Barrie', ' Gilbert Roland']",['Thriller']
Naughty Marietta,"['Jeanette MacDonald', ' Nelson Eddy', ' Elsa Lanchester']","['Drama', ' Musical']"
Navy Wife,"['Claire Trevor', ' Ralph Bellamy', ' Jane Darwell']",['Drama']
Nevada,"['Buster Crabbe', ' Kathleen Burke']",['Western']
Never Too Late,"['Richard Talmadge', ' Thelma White']",['Crime']
The New Frontier,"['John Wayne', ' Muriel Evans']",['Western']
A Night at the Opera,"['Marx Brothers', ' Kitty Carlisle']","['Comedy', ' Musical']"
A Night at the Ritz,"['William Gargan', ' Patricia Ellis']",['Comedy']
The Night Is Young,"['Ramon Novarro', ' Evelyn Laye']",['Musical']
Night Life of the Gods,"['Alan Mowbray', ' Gilbert Emery', ' Henry Armetta']","['Comedy', ' Fantasy']"
The Nitwits,"['Bert Wheeler', ' Robert Woolsey']",['Comedy']
No More Ladies,"['Joan Crawford', ' Robert Montgomery', ' Joan Fontaine']","['Comedy', ' Romance']"
North of Arizona,"['Jack Perrin', ' Blanche Mehaffey']",['Western']
A Notorious Gentleman,"['Charles Bickford', ' Helen Vinson']",['Drama']
The Nut Farm,"['Betty Alden', ' Oscar Apfel', ' Wallace Ford']",['Comedy']
Racing Luck,"['William Boyd', ' Barbara Worth']",['Action']
Rainbow's End,"['Hoot Gibson', ' Oscar Apfel', ' June Gale']",['Western']
Rainbow Valley,"['John Wayne', ' Lucile Browne']",['Western']
The Rainmakers,"['Bert Wheeler', ' Robert Woolsey', ' Dorothy Lee']",['Comedy']
The Raven,"['Bela Lugosi', ' Boris Karloff', ' Irene Ware']","['Drama', ' Horror']"
Reckless,"['Jean Harlow', ' William Powell', ' Rosalind Russell']","['Comedy', ' Musical']"
Reckless Roads,"['Judith Allen', ' Regis Toomey']",['Drama']
The Red Blood of Courage,"['Kermit Maynard', ' Ann Sheridan']",['Western']
Red Hot Tires,"['Lyle Talbot', ' Mary Astor']",['Crime']
Red Salute,"['Barbara Stanwyck', ' Robert Young', ' Purnell Pratt']",['Drama']
Redheads on Parade,"['John Boles', ' Dixie Lee']",['Musical']
Remember Last Night?,"['Constance Cummings', ' Robert Young', ' Edward Arnold']","['Comedy', ' Mystery']"
Rendezvous,"['William Powell', ' Rosalind Russell', ' Cesar Romero']","['Comedy', ' Drama']"
Rendezvous at Midnight,"['Ralph Bellamy', ' Valerie Hobson']",['Mystery']
Rescue Squad,"['Ralph Forbes', ' Verna Hillie']",['Crime']
The Return of Peter Grimm,"['Lionel Barrymore', ' Helen Mack', ' Edward Ellis', ' Donald Meek']",['Drama']
The Revenge Rider,"['Tim McCoy', ' Billie Seward']",['Western']
Riding Wild,"['Tim McCoy', ' Billie Seward']",['Western']
Rio Rattler,"['Tom Tyler', ' Marion Shilling']",['Western']
The Right to Live,"['Josephine Hutchinson', ' George Brent', ' Peggy Wood']",['Drama']
Roberta,"['Irene Dunne', ' Fred Astaire', ' Ginger Rogers']",['Musical']
Rocky Mountain Mystery,"['Randolph Scott', ' Ann Sheridan']",['Western']
Romance in Manhattan,"['Ginger Rogers', ' Francis Lederer', ' Jimmy Butler']","['Comedy', ' Drama']"
Rough Riding Ranger,"['Rex Lease', ' Bobby Nelson', ' Janet Chandler']",['Comedy']
Ruggles of Red Gap,"['Charles Laughton', ' Roland Young', ' ZaSu Pitts']",['Comedy']
Rumba,"['George Raft', ' Carole Lombard', ' Gail Patrick']",['Musical']
Rustler's Paradise,"['Harry Carey', ' Slim Whitaker', ' Carmen Bailey']",['Western']
The Sagebrush Troubadour,"['Gene Autry', ' Barbara Pepper']",['Western']
The Scoundrel,"['Noël Coward', ' Martha Sleeper', ' Alexander Woollcott']","['Comedy', ' Drama']"
Seven Keys to Baldpate,"['Gene Raymond', ' Eric Blore']",['Comedy']
Shadow of Doubt,"['Ricardo Cortez', ' Virginia Bruce']",['Mystery']
The Shadow of Silk Lennox,"['Lon Chaney Jr.', ' Jack Mulhall']",['Crime']
Shanghai,"['Loretta Young', ' Charles Boyer', ' Warner Oland']","['Comedy', ' Drama']"
She,"['Helen Gahagan', ' Randolph Scott', ' Nigel Bruce']","['Adventure', ' Fantasy']"
She Couldn't Take It,"['Joan Bennett', ' Walter Connolly', ' Wallace Ford']",['Comedy']
She Gets Her Man,"['Ward Bond', ' ZaSu Pitts', ' Lucien Littlefield']","['Comedy', ' Crime']"
She Married Her Boss,"['Claudette Colbert', ' Melvyn Douglas', ' Jean Dixon']","['Comedy', ' Drama']"
Ship Cafe,"['Carl Brisson', ' Arline Judge', ' Mady Christians']",['Musical']
Shipmates Forever,"['Dick Powell', ' Ruby Keeler']",['Musical']
A Shot in the Dark,"['Charles Starrett', ' Marion Shilling']",['Mystery']
Show Them No Mercy!,"['Rochelle Hudson', ' Cesar Romero']",['Crime']
Silk Hat Kid,"['Lew Ayres', ' Mae Clarke']",['Crime']
Silent Valley,"['Tom Tyler', ' Al Bridge']",['Western']
The Silver Bullet,"['Tom Tyler', ' Jayne Regan']",['Western']
The Singing Vagabond,"['Gene Autry', ' Ann Rutherford']",['Western']
Smart Girl,"['Ida Lupino', ' Kent Taylor', ' Joseph Cawthorn']","['Comedy', ' Drama']"
So Red the Rose,"['Walter Connolly', ' Margaret Sullavan', ' Randolph Scott']",['Drama']
Social Error,"['Gertrude Messinger', ' Monte Blue']",['Crime']
Society Doctor,"['Robert Taylor', ' Virginia Bruce']",['Drama']
Society Fever,"['Lois Wilson', ' Guinn Williams', ' Hedda Hopper']",['Comedy']
The Spanish Cape Mystery,"['Donald Cook', ' Helen Twelvetrees']",['Mystery']
Special Agent,"['Bette Davis', ' Ricardo Cortez', ' George Brent']","['Drama', ' Crime']"
Speed Limited,"['Ralph Graves', ' Evelyn Brent']",['Crime']
Splendor,"['Miriam Hopkins', ' Joel McCrea', ' Helen Westley']","['Comedy', ' Drama']"
Spring Tonic,"['Lew Ayres', ' Claire Trevor']",['Comedy']
Square Shooter,"['Tim McCoy', ' Jacqueline Wells']",['Western']
Star of Midnight,"['William Powell', ' Ginger Rogers', ' Ward Bond']","['Comedy', ' Mystery']"
Stars Over Broadway,"[""Pat O'Brien"", ' James Melton', ' Jane Froman']","['Comedy', ' Musical']"
Steamboat Round the Bend,"['Will Rogers', ' Anne Shirley', ' Eugene Pallette']",['Comedy']
Stolen Harmony,"['George Raft', ' Ben Bernie', ' Lloyd Nolan']","['Comedy', ' Musical']"
Stone of Silver Creek,"['Buck Jones', ' Noel Francis']",['Western']
Storm Over the Andes,"['Gene Lockhart', ' Jack Holt', ' Antonio Moreno']","['Drama', ' Adventure']"
Stormy,"['Noah Beery Jr.', ' Fred Kohler', ' J. Farrell MacDonald']",['Western']
Straight from the Heart,"['Mary Astor', ' Roger Pryor', ' Juanita Quigley']",['Drama']
Stranded,"['George Brent', ' Kay Francis', ' Robert Barrat']",['Drama']
Strangers All,"['May Robson', ' Preston Foster']",['Drama']
Streamline Express,"['Victor Jory', ' Esther Ralston']",['Comedy']
Sunset Range,"['Hoot Gibson', ' Mary Doran']",['Western']
Super-Speed,"['Norman Foster', ' Florence Rice']",['Sci-Fi']
Sweepstake Annie,"['Marian Nixon', ' Wera Engels']",['Comedy']
Sweet Music,"['Rudy Vallée', ' Ann Dvorak', ' Helen Morgan']",['Musical']
Sweet Surrender,"['Frank Parker', ' Tamara Drasin']",['Musical']
Swellhead,"['Wallace Ford', ' Barbara Kent']",['Sports']
Sylvia Scarlett,"['Katharine Hepburn', ' Cary Grant', ' Edmund Gwenn']",['Comedy']
Symphony of Living,"['Evelyn Brent', ' Al Shean']",['Drama']
